MSN,YYYYMM,Value,Column_Order,Description,Unit
CPUCIUS,201213,229.594,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,201301,230.28,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,201302,232.166,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,201303,232.773,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,201304,232.531,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,201305,232.945,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,201306,233.504,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,201307,233.596,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,201308,233.877,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,201309,234.149,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,201310,233.546,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,201311,233.069,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,201312,233.049,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,201313,232.957,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,201401,233.916,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,201402,234.781,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,201403,236.293,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,201404,237.072,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,201405,237.9,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,201406,238.343,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,201407,238.25,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,201408,237.852,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,201409,238.031,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,201410,237.433,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,201411,236.151,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,201412,234.812,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,201413,236.736,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,201501,233.707,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,201502,234.722,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,201503,236.119,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,201504,236.599,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,201505,237.805,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,201506,238.638,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,201507,238.654,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,201508,238.316,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,201509,237.945,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,201510,237.838,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,201511,237.336,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,201512,236.525,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,201513,237.017,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,201601,236.916,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,201602,237.111,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,201603,238.132,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,201604,239.261,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,201605,240.229,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,201606,241.018,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,201607,240.628,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,201608,240.849,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,201609,241.428,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,201610,241.729,1,Consumer Price Index (Urban),Index 1982-1984 = 100
